FileName,Label,Format
Pneu_Avi_Video_002V,pneumonia,jpg
Pneu_Avi_Video_003V,pneumonia,jpg
Pneu_Avi_Video_004V,pneumonia,jpg
Pneu_Avi_Video_005V,pneumonia,jpg
Pneu_Avi_Video_006V,pneumonia,jpg
Pneu_Basal-pneumonia-RUQ_cropV,pneumonia,jpg
Pneu_basalpneumonia_liftle_case1V,pneumonia,jpg
Pneu_emdocs_1,pneumonia,png
Pneu_from_article_rippeyV,pneumonia,jpg
Pneu_liftl_pneu_case3_clip3V,pneumonia,jpg
Pneu_liftl_pneu_case3_clip4V,pneumonia,jpg
Pneu_liftl_pneu_case3_clip5V,pneumonia,jpg
Pneu_northumbria_0409_set1_vid1V,pneumonia,jpg
Pneu_northumbria_0409_set1_vid2V,pneumonia,jpg
Pneu_northumbria_0409_set2_vid1V,pneumonia,jpg
Pneu_northumbria_0409_set2_vid2V,pneumonia,jpg
Pneu_northumbria_0409_set2_vid3V,pneumonia,jpg
Pneu_northumbria_0409_set2_vid4V,pneumonia,jpg
Pneu_northumbria_0409_set3_vid1V,pneumonia,jpg
Pneu_northumbria_0409_set3_vid2V,pneumonia,jpg
Pneu_northumbria_0409_set4_img2,pneumonia,jpg
Pneu_northumbria_0409_set4_vid1V,pneumonia,jpg
Pneu_northumbria_0409_set4_vid2V,pneumonia,jpg
Pneu_northumbria_0409_set5_img1,pneumonia,jpg
Pneu_northumbria_0409_set5_vid1V,pneumonia,jpg
Pneu_northumbria_0409_set5_vid2V,pneumonia,jpg
Pneu_northumbria_0409_set6_img6,pneumonia,jpg
Pneu_northumbria_0409_set6_vid1V,pneumonia,jpg
Pneu_northumbria_0409_set6_vid2V,pneumonia,jpg
Pneu_northumbria_0409_set6_vid3V,pneumonia,jpg
Pneu_northumbria_0409_set6_vid4V,pneumonia,jpg
Pneu_northumbria_0409_set6_vid5V,pneumonia,jpg
Pneu_northumbria_0409_set6_vid7V,pneumonia,jpg
Pneu_northumbria_0409_set6_vid8V,pneumonia,jpg
Pneu_northumbria_1009_vid1V,pneumonia,jpg
Pneu_Pneumonia-LITFL-Ultrasound_cropV,pneumonia,jpg
Reg-Atlas-alinesV,regular,jpg
Reg-Atlas-lungcurtainV,regular,jpg
Reg-AtlasV,regular,jpg
Reg-NormalLungsV,regular,jpg
Reg_Avi_Image001,regular,jpg
Reg_Avi_Image002V,regular,jpg
Reg_Avi_Image003V,regular,jpg
Reg_Avi_Image004V,regular,jpg
Reg_Avi_Image005,regular,jpg
Reg_Avi_Image006,regular,jpg
Reg_Avi_Image007,regular,jpg
Reg_Avi_Image008V,regular,jpg
Reg_Avi_Image009,regular,jpg
Reg_Avi_Image010,regular,jpg
Reg_Avi_Image011,regular,jpg
Reg_Avi_lung-sliding-2V,regular,jpg
Reg_Avi_lung-sliding-3V,regular,jpg
Reg_Avi_lung-slidingV,regular,jpg
Reg_Avi_normal-A-lines-pleural-line,regular,JPG
Reg_Avi_normal-A-lines,regular,JPG
Reg_Avi_pleural-line-normal,regular,JPG
Reg_Avi_Video_001V,regular,jpg
Reg_Avi_Video_002V,regular,jpg
Reg_Avi_Video_003V,regular,jpg
Reg_Avi_Video_004V,regular,jpg
Reg_Image_181602_trimmed_cropV,regular,jpg
Reg_Image_181739_trimmed_cropV,regular,jpg
Reg_Image_182106_cropV,regular,jpg
Reg_Image_182340_cropV,regular,jpg
Reg_liftl_case3_clip2V,regular,jpg
Reg_liftl_pneucase3_clip1V,regular,jpg
Reg_northumbria_0409_set3_vid1V,regular,jpg
Reg_northumbria_0409_set3_vid2V,regular,jpg
Reg_northumbria_0409_set5_vid1V,regular,jpg
Reg_northumbria_0409_set5_vid2V,regular,jpg
Reg_northumbria_1009_vid1V,regular,jpg
Reg_northumbria_1009_vid2V,regular,jpg
Reg_northumbria_1009_vid3V,regular,jpg
Reg_northumbria_1009_vid5V,regular,jpg
Reg_northumbria_1009_vid6V,regular,jpg
Reg_northumbria_1009_vid7V,regular,jpg
Reg_pat1Image_132943V,regular,jpg
Reg_pat1Image_133043V,regular,jpg
Reg_pat1Image_133138V,regular,jpg
Reg_pat1Image_133232V,regular,jpg
Reg_pat1Image_133327V,regular,jpg
Reg_pat1Image_133410V,regular,jpg
Reg_pat2Image_133824V,regular,jpg
Reg_pat2Image_133952V,regular,jpg
Reg_pat2Image_134138V,regular,jpg
Reg_pat2Image_134240V,regular,jpg
Reg_pat2Image_134348V,regular,jpg
Reg_pat2Image_134441V,regular,jpg
Reg_pat3Image_134711V,regular,jpg
Reg_pat3Image_134811V,regular,jpg
Reg_pat3Image_134904V,regular,jpg
Reg_pat3Image_135026V,regular,jpg
Reg_pat3Image_135128V,regular,jpg
Reg_pat3Image_135215V,regular,jpg
Reg_pat4Image_135904V,regular,jpg
Reg_pat4Image_140024V,regular,jpg
Reg_pat4Image_140238V,regular,jpg
Reg_pat4Image_140434V,regular,jpg
Reg_pat4Image_140606V,regular,jpg
Reg_pat4Image_140705V,regular,jpg
Reg_recommendations_alines_mov1V,regular,jpg
